City,State,Type,Location
ANNISTON,Alabama,chime,Church of St.Michael & All Angels (Episcopal)
BIRMINGHAM - A,Alabama,chime,Crawford and Virginia Johnson Carillon [sic]
BIRMINGHAM - A,Alabama,chime,Cathedral Church of the Advent
BIRMINGHAM - FPC,Alabama,trad,First Presbyterian Church (PCUSA)
BIRMINGHAM - HM,Alabama,chime,The McCoy Tower Bells
BIRMINGHAM - HM,Alabama,chime,Highlands United Methodist Church
BIRMINGHAM - STP,Alabama,ring,Family Life Center
BIRMINGHAM - STP,Alabama,ring,Cathedral of St.Paul (RC)
BIRMINGHAM - SU,Alabama,trad,Rushton Memorial Carillon
BIRMINGHAM - SU,Alabama,trad,Harwell Goodwin Davis Library
BIRMINGHAM - SU,Alabama,trad,Samford University
FOLEY,Alabama,non-trad,Centennial Plaza
FOLEY,Alabama,non-trad,Heritage Park
HANCEVILLE,Alabama,chime,Shrine of the Most Blessed Sacrament
HANCEVILLE,Alabama,chime,Our Lady of the Angels Monastery
HUNTSVILLE,Alabama,trad,First Baptist Church (SBC)
MOBILE,Alabama,chime,St.Paul's Episcopal Church
MONTGOMERY,Alabama,chime,St.John's Episcopal Church
SELMA,Alabama,chime,St.Paul's Episcopal Church
TUSCALOOSA - SS,Alabama,non-trad,Clock tower
TUSCALOOSA - SS,Alabama,non-trad,Shelton State Community College
TUSCALOOSA - UA/2,Alabama,non-trad,The Denny Chimes
TUSCALOOSA - UA/2,Alabama,non-trad,University of Alabama
ANCHORAGE,Alaska,zvon,St.Innocent Russian Orthodox Cathedral
SAINT PAUL,Alaska,chime,SS.Peter & Paul Orthodox Church (OCA)
SITKA,Alaska,zvon,St.Michael the Archangel Orthodox Cathedral (OCA)
