Location,Country-State,Type,Description
CLEARWATER,USA - FL,trad,Betty Jane Dimmitt Memorial Carillon; Episcopal Church of the Ascension
DE LAND,USA - FL,chime,The Eloise Chimes; Hulley Tower; John B Stetson University
FORT MYERS,USA - FL,chime,Church of the Cross; (was Horizon Ev. Friends Ch, or Pilgrims UCC)
GAINESVILLE,USA - FL,trad,Century Tower; University of Florida
JACKSONVILLE,USA - FL,chime,St.John's Episcopal Cathedral
KEY WEST,USA - FL,chime,St.Paul's Episcopal Church
LAKE WALES - B,USA - FL,trad,Bok Singing Tower; Bok Tower Gardens; (formerly Historic Bok Sanctuary; formerly Mountain Lake Sanctuary)
LAKE WALES - FP,USA - FL,chime,First Presbyterian Church (ARPC)
MIAMI - T,USA - FL,ring,The Patterson Memorial Bells; Trinity Episcopal Cathedral
OCALA,USA - FL,chime,Clock Tower; College of Central Florida
PALM BEACH,USA - FL,chime,Bethesda-by-the-Sea Church (Episcopal)
PANAMA CITY BEACH,USA - FL,non-trad*,Carillon Beach
PENSACOLA - FP,USA - FL,non-trad,First Presbyterian Church (PCUSA)
PENSACOLA - PCC,USA - FL,non-trad,Pensacola Christian College
SAINT PETERSBURG -- FM,USA - FL,chime,First United Methodist Church
TALLAHASSEE,USA - FL,chime,Lewis Chime; St.John's Episcopal Church
TAMPA,USA - FL,non-trad,Susan and John Sykes Ars Sonora; Sykes Plaza; The University of Tampa
VENICE,USA - FL,trad,Andrew W. Crawford Memorial Carillon; Venice Performing Arts Center (VPAC)
VERO BEACH,USA - FL,non-trad,Trinity Episcopal Church
ATLANTA - FC,USA - GA,non-trad,Fulton County Government Center
ATLANTA - FP,USA - GA,non-trad,Devereaux McClatchey Carillon; First Presbyterian Church of Atlanta
ATLANTA - G,USA - GA,non-trad,Clock tower; Galleria Park
ATLANTA - OM,USA - GA,chime,(former Ousley Methodist Church); *See  DECATUR
ATLANTA - OU,USA - GA,non-trad,Lale Özgörkey Bell Tower; Lupton Hall; Oglethorpe University
ATLANTA - SS,USA - GA,chime,Sandy Springs United Methodist Church
ATLANTA - STB,USA - GA,chime,St.Bartholomew's Episcopal Church
ATLANTA - STL,USA - GA,ring,Robert C. Alston II Memorial Bell Tower; St.Luke's Episcopal Church
ATLANTA - U,USA - GA,chime,University
AUGUSTA - FB,USA - GA,chime,First Baptist Church
AUGUSTA - CP,USA - GA,non-trad,Covenant Presbyterian Church (PCUSA)
AUGUSTA - GS,USA - GA,ring,Church of the Good Shepherd (Episcopal)
AUGUSTA - STP,USA - GA,chime,St.Paul's Episcopal Church
CUMMING,USA - GA,chime,Summits Wayside Tavern; (formerly Taco Mac Restaurant)
DALTON,USA - GA,non-trad,James A. Burran Bell Tower; Dalton State College
