City,State,Type,Location
BATESVILLE,AR,non-trad,Tower Campbell Carillon; Lyon Business and Economics Building; Lyon College
CARBON CITY,AR,coll,Cowie Wine Cellars; collection of single steel bells
FORT SMITH - U,AR,non-trad,Donald W. Reynolds Tower; University of Arkansas - Fort Smith
HOT SPRINGS,AR,chime,St.Luke's Episcopal Church
JONESBORO - STM,AR,non-trad,St.Mark's Episcopal Church
JONESBORO - U,AR,non-trad,Dean B. Ellis Library; Arkansas State University
LITTLE ROCK - PHM,AR,non-trad,Pulaski Heights United Methodist Church
LITTLE ROCK - TEC,AR,ring,Centennial Ring; Trinity Episcopal Cathedral
MAGNOLIA,AR,chime,Water tower; Southern Arkansas University
TEXARKANA,AR,ring,First Presbyterian Church (PCUSA)
MESA,AZ,non-trad,The Center; Las Sendas
SCOTTSDALE,AZ,trad,Saint Barnabas on the Desert Episcopal Church
BERKELEY - P,CA,chime,(Private house)
BERKELEY - UC,CA,trad,Class of 1928 Carillon; Jane K. Sather Tower; University of California at Berkeley
BODEGA BAY,CA,coll,The Bell Memorial (Children's Bell Tower)
CALISTOGA,CA,chime,Sterling Winery
CARMEL,CA,chime,Mission San Carlos Borromèo del Rio Carmelo (Carmel Mission Basilica)
Cazadero,CA,great,Odiyan Buddhist Retreat Center
FOLSOM,CA,chime,City Hall
GARDEN GROVE,CA,trad,Arvella Schuller Carillon; Crean Tower; The Crystal Cathedral
LOS ANGELES - CLA,CA,non-trad,Cathedral of Our Lady of the Angels (RC)
LOS ANGELES - HM,CA,chime,Holman United Methodist Church
LOS ANGELES - HP,CA,chime,Otis Memorial Chimes ('The Bells of Hollywood'); Hollywood Forever Memorial Park
LOS ANGELES - MC,CA,non-trad,stage left; Dorothy Chandler Pavilion; Music Center of Los Angeles County
LOS ANGELES - STA,CA,chime,St.Agnes Catholic Church
LOS ANGELES - STB,CA,chime,St.Brendan's Catholic Church
LOS ANGELES - STP,CA,chime,St.Paul's Catholic Church
Los Angeles,CA,great,Korean-American Peace Park
MODESTO,CA,chime,St.Stan's Brewery & Restaurant
MONROVIA,CA,chime,St.Luke's Episcopal Church
OAKLAND - M,CA,chime,El Campanil; Mills College
ORANGE,CA,chime,Immanuel Evang. Lutheran Church (LCMS)
PACIFIC PALISADES,CA,chime,St.Matthew's Episcopal Church
PASADENA - PP,CA,chime,Pasadena Presbyterian Church (PCUSA)
PORTOLA VALLEY,CA,non-trad,Christ Episcopal Church
RANCHO PALOS VERDES,CA,chime,Wayfarers' Chapel (Swedenborgian)
RIVERSIDE - FCC,CA,non-trad,First Congregational Church (UCC)
RIVERSIDE - MI/1,CA,coll,Mission Inn (originally Glenwood Mission Inn)
RIVERSIDE - UC,CA,trad,Carillon Tower; University of California
SACRAMENTO - E,CA,non-trad,The September 11th Memorial Plaza; California Exposition & State Fair
SAN ANSELMO - SFTS,CA,chime,San Francisco Theological Seminary
SAN ANSELMO - STN,CA,zvon,St.Nicholas Orthodox Church (OCA)
SAN DIEGO - FM,CA,chime,Hartupee-Irwin Bells; First United Methodist Church
SAN FRANCISCO - GC,CA,non-trad,North Tower; Grace Cathedral (Episcopal)
SAN FRANCISCO - GS,CA,chime,Gazebo; Ghirardelli Square
SAN FRANCISCO - HT,CA,zvon,Holy Trinity Orthodox Cathedral
SAN FRANCISCO - STP,CA,chime,St.Patrick's Catholic Church
SAN JOSE,CA,trad,Trinity Chime; Trinity Cathedral
SAN JUAN CAPISTRANO,CA,chime,Mission Basilica San Juan Capistrano
SAN MATEO,CA,chime,St.Matthew's Episcopal Church
SAN RAFAEL,CA,chime,First Presbyterian Church (PCUSA)
SAN SIMEON,CA,non-trad,Hearst Castle Towers; Hearst San Simeon State Historical Monument
SANTA BARBARA,CA,trad,Thomas M. Storke Student Publication Building; University of California
SANTA MONICA - STA,CA,chime,St.Augustine by-the-Sea Church (Episcopal)
SANTA PAULA,CA,chime,St.Sebastian's Catholic Church
STANFORD,CA,trad,Lou Henry Hoover Carillon (formerly Hoover Institute Carillon); Hoover Tower; Stanford University
