City,State,Type,Description
BLOOMINGTON - 1,USA - IN,trad,Arthur R. Metz Memorial Carillon, Indiana University
BLOOMINGTON - 2,USA - IN,trad,School of Music Carillon, Music School Building (or Music Annex), Indiana University
BLOOMINGTON - 3,USA - IN,chime,Student Building, Indiana University
CARMEL - 1,USA - IN,non-trad,Coxhall Park (west entrance)
CARMEL - 2,USA - IN,non-trad,Coxhall Park (east entrance)
CULVER,USA - IN,trad,Memorial Chapel, The Culver Academies (formerly Culver Military Academy)
ELKHART,USA - IN,chime,NIBCO Centennial Bell Tower
FORT WAYNE - E,USA - IN,chime,Becker Memorial Chimes, Emmaus Evang. Lutheran Church (LCMS)
FORT WAYNE - FP,USA - IN,chime,First Presbyterian Church (PCUSA)
GREENCASTLE,USA - IN,non-trad,Alpha Chi Omega Memorial Carillon, Performing Arts Center, DePauw University
HUNTINGTON,USA - IN,chime,First M.E. Church
INDIANAPOLIS - CCC,USA - IN,chime,Christ Church Cathedral (Episcopal)
INDIANAPOLIS - IP,USA - IN,non-trad,IUPUI Campus Center, Indiana Univ - Purdue Univ Indianapolis
INDIANAPOLIS - SRC,USA - IN,trad,Scottish Rite Cathedral (Masonic)
INDIANAPOLIS - TP,USA - IN,chime,Tabernacle Presbyterian Church
LA PORTE,USA - IN,trad,The Children's Carillon, The Presbyterian Church of La Porte
LAWRENCEBURG,USA - IN,non-trad,War Memorial to the Common Man
MARION,USA - IN,chime,J. Wood Wilson Chimes, God's House Ministries (was First Presbyterian Church of Grant County)
MISHAWAKA,USA - IN,chime,First United Methodist Church
MUNCIE - BSU,USA - IN,trad,Shafer Tower, Ball State University
NORTH MANCHESTER,USA - IN,chime,Manchester College
NOTRE DAME,USA - IN,trad+great,Basilica of the Sacred Heart (RC), University of Notre Dame du Lac
RICHMOND,USA - IN,chime,Reid Memorial United Presbyterian Church (PCUSA)
SAINT MARY-OF-THE-WOODS,USA - IN,chime,Church of the Immaculate Conception, St.Mary-of-the-Woods College
VALPARAISO,USA - IN,chime,Brandt Campanile, Chapel of the Resurrection, Valparaiso University
WINAMAC,USA - IN,non-trad,St.Peter Catholic Church
AMES - 1,USA - IA,trad,Stanton Memorial Carillon, Campanile, Iowa State University
AMES - 2/mobile,USA - IA,trad,Traveling demonstrator, Iowa State University
CEDAR FALLS,USA - IA,trad,Campanile, University of Northern Iowa
DAVENPORT - P/1,USA - IA,chime,Palmer College (formerly School) of Chiropractic
DAVENPORT,USA - IA,,*See also EDGEWOOD : USA - RI chime
DES MOINES - STP,USA - IA,trad,Cathedral Church of St.Paul (Episcopal)
DUBUQUE,USA - IA,chime,St.Luke's United Methodist Church
FORT DODGE,USA - IA,chime,(unknown, elsewhere) was at First United Methodist Church
IOWA CITY,USA - IA,chime,St.Mary of the Visitation Church (RC) (aka St.Mary of the Assumption)
JEFFERSON,USA - IA,non-trad,Mahanay Memorial Carillon Tower
OSKALOOSA - STJ,USA - IA,chime,St.James' Episcopal Church
SIOUX CITY - F,USA - IA,chime,First United Methodist Church
SPENCER,USA - IA,chime,Grace United Methodist Church
STORM LAKE - BV,USA - IA,chime,Schaller Memorial Chapel, Buena Vista University (formerly Buena Vista College)
WATERLOO,USA - IA,chime,First Presbyterian Church (PCUSA)
DODGE CITY,USA - KS,non-trad,St.Mary of the Plains College
LAWRENCE - KU,USA - KS,trad,World War II Memorial Carillon, World War II Memorial Campanile, University of Kansas
SALINA,USA - KS,non-trad,Christ Episcopal Cathedral
WICHITA - HC,USA - KS,non-trad,Holy Cross Lutheran Church (LCMS)
WICHITA - I,USA - KS,chime,Immanuel Lutheran Church
BEREA - 1,USA - KY,chime,William Goodell Frost Memorial Chimes, Phelps Stokes Chapel, Berea College
BEREA - 2,USA - KY,trad,John Courter Carillon, Draper Building (Jessie Preston Draper Memorial), Berea College
BOWLING GREEN,USA - KY,non-trad,Guthrie Plaza clock tower, Western Kentucky University
COVINGTON - GP,USA - KY,trad,The Carroll Chimes, Goebbel Park
COVINGTON - T,USA - KY,chime,Trinity Episcopal Church
DANVILLE,USA - KY,chime,Lexington Avenue Baptist Church (SBC)
LEXINGTON,USA - KY,chime,Christ Church Cathedral (Episcopal)
LOUISVILLE - A,USA - KY,non-trad,Cathedral of the Assumption (RC)
LOUISVILLE - WS,USA - KY,chime,Parr Memorial Chimes (in memory of Maria Marmaduke Parr), Walnut Street Baptist Church (SBC)
Newport,USA - KY,great,Millennium Monument
RICHMOND,USA - KY,non-trad,Keen Johnson Building (administration), Eastern Kentucky University
LAKE CHARLES,LA,non-trad,First Presbyterian Church (PCUSA)
MORGAN CITY,LA,trad,Brownell Memorial Park
NEW ORLEANS - G,LA,chime,The Helen McLeary Dufour Memorial Chime, Grace Episcopal Church
NEW ORLEANS - HN,LA,chime,Holy Name of Jesus Church (RC)
SHREVEPORT - FB,LA,chime,First Baptist Church (SBC)
SHREVEPORT - STM,LA,chime/ring,St.Mark's Episcopal Cathedral (was St.Mark's Church)
AUGUSTA,ME,chime,St.Mark's Episcopal Church
BANGOR,ME,chime,First Universalist Church
BAR HARBOR,ME,chime,St.Saviour's Episcopal Church
BRUNSWICK,ME,chime,Payson Memorial Chimes, Chapel, Bowdoin College
CAMDEN,ME,chime,St.Thomas' Episcopal Church
LEWISTON,ME,chime,St.Joseph's Catholic Church
BALTIMORE - CC,MD,chime,New Refuge Deliverance Cathedral (formerly Christ Episcopal Church)
BALTIMORE - CL,MD,chime,Christ Lutheran Church (ELCA)
BALTIMORE - OS,MD,chime,Our Saviour Lutheran Church (LCMS)
BALTIMORE - STA,MD,chime,St.Alphonsus Catholic Church (National Shrine of St.Alphonsus Liguori)
BALTIMORE - STJ,MD,chime,St.John's Episcopal Church--Huntingdon
BALTIMORE - STM,MD,chime,St.Matthew's United Church of Christ (was St.Matthew Evangelical)
BALTIMORE - STP,MD,non-trad,St.Paul's Episcopal Church
BALTIMORE - STV,MD,chime,St.Vincent de Paul Catholic Church
BALTIMORE - YR,MD,chime,J.Joseph Curran Memorial Clock Tower, York Road Development Project
COLUMBIA,MD,chime,Wharf Bell Tower
