Bell ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Ring ID,Collection Type,Ring Size,Bell Role,Bell Name,Weight (lbs),Weight (approx),Nominal (Hz),Note,Diameter (in),Cast Date,Listed,Founder,Founder Uncertain,Caster,Canons,Turnings,Cracked,Frame ID,In Pit
7887,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c1,,64,,3137.8,G,13.20,1982,,Eijsbouts,,,flat,unturned,,8619,
7888,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c2,,69,,2960.0,F♯,13.70,1982,,Eijsbouts,,,flat,unturned,,8619,
7889,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c3,,77,,2798.7,F,14.20,1982,,Eijsbouts,,,flat,unturned,,8619,
7890,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c4,,83,,2638.5,E,14.60,1982,,Eijsbouts,,,flat,unturned,,8619,
7891,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c5,,93,,2490.5,D♯,15.30,1982,,Eijsbouts,,,flat,unturned,,8619,
7892,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c6,,95,,2352.0,D,15.90,1982,,Eijsbouts,,,flat,unturned,,8619,
7893,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c7,,104,,2220.0,C♯,16.60,1982,,Eijsbouts,,,flat,unturned,,8619,
7894,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c8,,117,,2093.0,C,17.30,1982,,Eijsbouts,,,flat,unturned,,8619,
7895,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c9,,127,,1976.7,B,17.70,1982,,Eijsbouts,,,flat,unturned,,8619,
7896,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c10,,149,,1864.7,A♯,18.80,1982,,Eijsbouts,,,flat,unturned,,8619,
7897,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c11,,167,,1759.0,A,19.50,1982,,Eijsbouts,,,flat,unturned,,8619,
7899,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c13,,222,,1568.0,G,21.60,1982,,Eijsbouts,,,flat,unturned,,8619,
7901,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c15,,293,,1396.9,F,23.70,1982,,Eijsbouts,,,flat,unturned,,8619,
7904,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c18,,434,,1175.3,D,27.40,1982,,Eijsbouts,,,flat,unturned,,8619,
7906,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c20,,623,,1047.1,C,30.90,1982,,Eijsbouts,,,flat,unturned,,8619,
7907,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c22,,1000,,880.5,A,36.20,1982,,Eijsbouts,,,flat,unturned,,8618,
7908,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c23,,1435,,784.4,G,40.80,1982,,Eijsbouts,,,flat,unturned,,8618,
7909,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c24,,2067,,698.5,F,45.80,1982,,Eijsbouts,,,flat,unturned,,8618,
7910,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,c25,,4982,,523.3,C,61.60,1982,,Eijsbouts,,,flat,unturned,,8618,
7898,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,1c12,,188,,1663.1,G♯,20.50,1982,,Eijsbouts,,,flat,unturned,,7836,Y
7900,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,2c14,,249,,1480.0,F♯,22.60,1982,,Eijsbouts,,,flat,unturned,,7836,Y
7902,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,3c16,,332,,1319.3,E,25.00,1982,,Eijsbouts,,,flat,unturned,,7836,Y
7903,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,4c17,,368,,1244.5,D♯,25.80,1982,,Eijsbouts,,,flat,unturned,,7836,Y
7905,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,5c19,,529,,1108.7,C♯,29.10,1982,,Eijsbouts,,,flat,unturned,,7836,Y
28,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,6771,full-circle ring,6 U/R,6c21,,729,,987.2,B,32.50,1982,,Eijsbouts,,,flat,unturned,,7836,Y
8246,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,1,,402,,1570.0,G,24.75,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8247,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,2,,409,,1471.3,F♯,25.25,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8248,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,3,,447,,1313.8,E,26.50,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8249,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,4,,499,,1173.3,D,28.00,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8250,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,5,,613,,1047.9,C,30.25,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8251,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,6,,687,,982.5,B,31.75,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
8252,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,7,,872,,877.6,A,35.00,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
98,Alexandria,"Immanuel Chapel, Virginia Theological Seminary","Virginia, United States of America",13507,,38.81981,-77.09261,3508,full-circle ring,8,8,,1218,,784.0,G,39.00,2014,,Whitechapel Bell Foundry,,,flat,unturned,,89,Y
9213,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,1,,410,,,A,,2000,,Eijsbouts,,,flat,,,9073,Y
9214,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,2,,406,,,G,,2000,,Eijsbouts,,,flat,,,9073,Y
9215,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,3,,478,,,F,27.00,1924,,Mears & Stainbank,,,,,,9073,Y
9216,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,4,,486,,,E,27.38,1924,,Mears & Stainbank,,,,,,9073,Y
9217,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,5,,552,,,D,29.38,1924,,Mears & Stainbank,,,,,,9073,Y
9218,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,6,,655,,,C,31.88,1924,,Mears & Stainbank,,,,,,9073,Y
9219,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,7,,722,,,B♭,33.75,1924,,Mears & Stainbank,,,,,,9073,Y
9220,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,8,,833,,,A,35.63,1924,,Mears & Stainbank,,,,,,9073,Y
9221,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,9,,1061,,,G,39.00,1924,,Mears & Stainbank,,,,,,9073,Y
299,Atlanta,S Luke,"Georgia, United States of America",14361,,33.76628,-84.38504,4362,full-circle ring,10,10,,1498,,,F,43.50,1924,,Mears & Stainbank,,,,,,9073,Y
9270,Augusta,The Good Shepherd,"Georgia, United States of America",16381,,33.47627,-82.01464,6382,full-circle ring,8,1,,415,,1546.0,G,24.81,2003,,Whitechapel Bell Foundry,,,flat,unturned,,292,Y
9271,Augusta,The Good Shepherd,"Georgia, United States of America",16381,,33.47627,-82.01464,6382,full-circle ring,8,2,,433,,1450.4,F♯,25.50,2003,,Whitechapel Bell Foundry,,,flat,unturned,,292,Y
