TowerID,RingID,RingType,Place,Place2,PlaceCL,Dedicn,TowerStatus,StatusFirst,BareDedicn,AltName,RingName,Region,County,Country,HistRegion,ISO3166code,Diocese,Lat,Long,Bells,UR,Semitones,Wt,App,Note,Hz,Details,GF,Toilet,Simulator,ExtraInfo,WebPage,Affiliations,NG,Postcode,Practice,OvhaulYr,Contractor,TuneYr,LGrade,BldgID,ChurchCare,CHRAssetID,TowerBase,DoveID,SNLat,SNLong
16770,6771,Full-circle ring,Abilene,,,The Heavenly Rest,,N,The Heavenly Rest,,All Saints Tower,"Texas, United States of America",Texas,United States of America,,US,Northwest Texas,32.44421,-99.74567,6,u/r,,729,,B,987.2,C,,,,Dutch bells; the ringing bells form part of a 25-bell carillon; unringable. ,http://www.towerbells.org/data/TXABILHR.HTM https://www.nagcr.org/towers-and-bands/abilene https://www.heavenlyrestabilene.org/post/ringing-again,North American Guild,,79602,,1991,Eayre & Smith,,,,,,5850,ABILENE,,
13507,3508,Full-circle ring,Alexandria,,,"Immanuel Chapel, Virginia Theological Seminary",,N,"Immanuel Chapel, Virginia Theological Seminary",,The Hooff Norman Bells,"Virginia, United States of America",Virginia,United States of America,,US,Virginia,38.81981,-77.09261,8,,,1218,,G,784.0,C,,T,T,,https://www.nagcr.org/towers-and-bands/alexandria,North American Guild,,,Mon 18:00,,,,,,,,7791,ALEXANDRIA,,
14361,4362,Full-circle ring,Atlanta,,,S Luke,,N,S Luke,,,"Georgia, United States of America",Georgia,United States of America,,US,Atlanta,33.76628,-84.38504,10,,,1498,,F,,P,,,,,https://www.nagcr.org/towers-and-bands/atlanta http://www.towerbells.org/data/GAATLSTL.HTM,North American Guild,,30308,Thu (with additions) 18:30,2000,Eayre & Smith,,,,,,6131,ATLANTA,,
16381,6382,Full-circle ring,Augusta,,,The Good Shepherd,,N,The Good Shepherd,,,"Georgia, United States of America",Georgia,United States of America,,US,Georgia,33.47627,-82.01464,8,,,1257,,G,772.7,C,GF,,,Detached tower. ,https://www.nagcr.org/towers-and-bands/augusta,North American Guild,,30904,Mon 17:00,,,,,,,,7377,AUGUSTA,,
16786,6787,Full-circle ring,Birmingham,,Birmingham RC Cath,Cath Ch of S Paul,Cath Ch,Y,S Paul,,,"Alabama, United States of America",Alabama,United States of America,,US,Birmingham in Alabama,33.51786,-86.80498,8,,,1495,,F♯,738.2,C,GF,,,,https://www.nagcr.org/towers-and-bands/birmingham,North American Guild,,35203,Sat (by arrangement),,,,,,,,7519,BIRMIN  AL,33.51817,-86.80464
12291,2292,Full-circle ring,Boston,Old North,"Boston, Old North",Christ Church,,N,Christ Church,,,"Massachusetts, United States of America",Massachusetts,United States of America,,US,Massachusetts,42.36640,-71.05455,8,,,1545,,F,691.0,P,,T,,,http://bellringers.scripts.mit.edu/www/ https://www.nagcr.org/towers-and-bands/boston-old-north,North American Guild,,02113,Sat 11:15,1983,,,,,,,5852,BOSTON MCH,,
11198,1199,Full-circle ring,Boston,,"Boston, Advent",The Advent,,N,The Advent,,,"Massachusetts, United States of America",Massachusetts,United States of America,,US,Massachusetts,42.35771,-71.07175,8,,,2163,,E,643.0,P,,T,,,http://bellringers.scripts.mit.edu/www/ https://www.nagcr.org/towers-and-bands/boston-advent,North American Guild,,02108,Wed 19:00,1976,,,,,,,5851,BOSTON MAD,,
10265,266,Full-circle ring,Brewster,,,"Chapel of S Cuthbert, Community of the Holy Spirit",,N,"Chapel of S Cuthbert, Community of the Holy Spirit",,,"New York, United States of America",New York,United States of America,,US,New York,41.40568,-73.55029,8,u/r,,946,,A,880.0,P,,,,Unringable. ,http://www.towerbells.org/data/NYBREWST.HTM,North American Guild,,10509,,,,,,,,,5853,BREWSTER,41.40657,-73.55021
10020,21,Full-circle ring,Burlington,,,S Mary,,N,S Mary,,,"New Jersey, United States of America",New Jersey,United States of America,,US,New Jersey,40.07713,-74.86172,8,,,2468,,E♭,632.0,P,GF,,,Ringing prohibited; rung from chancel. ,,North American Guild,,08016,,,,,,,,,5854,BURLINGTON,,
25200,17260,Lightweight ring,Carmel,,,The Carmel Campanile,,N,The Carmel Campanile,,,"Indiana, United States of America",Indiana,United States of America,,US,Private ownership,,,8,,,10.1875,,F♯,750.0,P,GF,,,,,,,,,,,,,,,,7533,,,
15062,5063,Full-circle ring,Charleston,,Charleston Cath,Cath Ch of S Luke & S Paul,Cath Ch,Y,S Luke & S Paul,,,"South Carolina, United States of America",South Carolina,United States of America,,US,Anglican Church in North America,32.78697,-79.94035,8,,,1596,,G,,P,,,,,https://www.nagcr.org/towers-and-bands/charleston-cath-ss-luke-paul,North American Guild,,29403,Wed 17:30,2001,Eayre & Smith,,,,,,6172,CHARLESTNC,,
16377,6378,Full-circle ring,Charleston,,"Charleston, Grace Ch Cath",Grace Church Cathedral,,N,Grace Church Cathedral,,,"South Carolina, United States of America",South Carolina,United States of America,,US,South Carolina,32.78179,-79.93661,10,,,1875,,E♭,622.0,P,GF,,,Detached tower. ,https://www.nagcr.org/towers-and-bands/charleston-grace-cath,North American Guild,,29401,Tue 18:00,,,1997,,,,,6039,CHARLESTNG,,
14807,4808,Full-circle ring,Charleston,,"Charleston, S Michael",S Michael,,N,S Michael,,,"South Carolina, United States of America",South Carolina,United States of America,,US,Anglican Church in North America,32.77627,-79.93094,8,,,1943,,E♭,642.5,C,,,,,https://www.nagcr.org/towers-and-bands/charleston-st-michael,North American Guild,,29401,Thu (with exceptions) 17:00,1993,Whitechapel Bell Foundry,,,,,,5856,CHARLESTNM,,
14830,4831,Full-circle ring,Charleston,Sullivan's Island,"Charleston, Stella Maris",Stella Maris,,N,Stella Maris,Sullivan's Island,,"South Carolina, United States of America",South Carolina,United States of America,,US,Charleston,32.76061,-79.85854,8,,,517,,C♯,1108.7,C,,,,,https://www.nagcr.org/towers-and-bands/sullivans-island,North American Guild,,29482,Tue 19:00,,,,,,,,5971,CHARLESTNS,,
11762,17625,Carillon,Chicago,University of Chicago,"Chicago, Mitchell Tower",Mitchell Tower,,N,Mitchell Tower,,University Chapel,"Illinois, United States of America",Illinois,United States of America,,US,Local Authority (secular),41.79125,-87.59828,72,,,36990,,C♯,,P,,T,,,http://changeringers.uchicago.edu https://www.nagcr.org/towers-and-bands/chicago,North American Guild,,60637,,,,,,,,,,,,
11762,1763,Chime,Chicago,University of Chicago,"Chicago, Mitchell Tower",Mitchell Tower,,N,Mitchell Tower,,,"Illinois, United States of America",Illinois,United States of America,,US,Local Authority (secular),41.79125,-87.59828,10,,,2443,,E♭,617.0,C,,T,,,http://changeringers.uchicago.edu https://www.nagcr.org/towers-and-bands/chicago,North American Guild,,60637,,23 Aug 2023,John Taylor & Co,,,,,,,,,
11762,17420,Full-circle ring,Chicago,University of Chicago,"Chicago, Mitchell Tower",Mitchell Tower,,N,Mitchell Tower,,,"Illinois, United States of America",Illinois,United States of America,,US,Local Authority (secular),41.79125,-87.59828,10,,,2042,,E,657.8,C,,T,,"Also has a carillon (72 bells); bass bell is 330 1 02 in C#. The Laura Spelman Rockefeller Memorial Carillon, located in the Rockefeller Memorial Chapel, University of Chicago. ",http://changeringers.uchicago.edu https://www.nagcr.org/towers-and-bands/chicago,North American Guild,,60637,Sat 10:30 & Sat 13:00,,,,,,,,5857,CHICAGO,,
16440,6441,Full-circle ring,Chicago,Riverside,"Chicago, Riverside",S Paul,,N,S Paul,Riverside,,"Illinois, United States of America",Illinois,United States of America,,US,Chicago,41.82950,-87.82001,8,,,447,,E♭,1248.0,C,GF,T,,The former Expo mobile belfry. ,https://www.nagcr.org/towers-and-bands/riverside,North American Guild,,60546,,,,,,,,,5872,CHICAGO RV,,
10418,419,Full-circle ring,Dallas,,,S James,,N,S James,,,"Texas, United States of America",Texas,United States of America,,US,Dallas,32.87150,-96.71733,6,,,516,,C,1044.0,P,,,,,https://www.stjamesdallas.org/serve/st-james-ministries/tower-bell-ringers/ https://www.nagcr.org/towers-and-bands/dallas,North American Guild,,75238,Sat 12:00,,,,,,,,6803,DALLAS,,
11424,1425,Full-circle ring,Frederick,,,Calvary United Methodist Ch,,N,Calvary United Methodist Ch,,,"Maryland, United States of America",Maryland,United States of America,,US,Orthodox and Non-Episcopal Church,39.41720,-77.41374,8,,,1082,,A♭,830.0,P,,T,,,https://www.nagcr.org/towers-and-bands/frederick,North American Guild,,21701,Sun 14:00,,,,,,,,7375,FREDERICK,,
15745,5746,Full-circle ring,Groton,,,Groton School Chapel,,N,Groton School Chapel,,,"Massachusetts, United States of America",Massachusetts,United States of America,,US,Private ownership,42.59279,-71.58328,10,,,2036,,F,696.0,C,,,,,,North American Guild,,01450,,,,,,,,,5858,GROTON  MA,,
12823,2824,Full-circle ring,Hendersonville,,,S James,,N,S James,,,"North Carolina, United States of America",North Carolina,United States of America,,US,Western North Carolina,35.32096,-82.46068,8,,,1032,,A,880.0,C,GF,,,Detached tower. ,http://stjamesepiscopal.com/worship-and-music/stjames-music.html,North American Guild,,28792,Mon,,,,,,,,5859,HENDERSONV,,
